<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAL.US,5,20200812,153000,14.04,14.06,13.725,13.8419,4146686,0
AAL.US,5,20200812,153500,13.845,14.02,13.845,13.9381,2372701,0
AAL.US,5,20200812,154000,13.91,13.99,13.88,13.97,1240985,0
AAL.US,5,20200812,154500,13.9626,13.98,13.76,13.79,1746502,0
AAL.US,5,20200812,155000,13.79,13.8,13.55,13.6499,2701507,0
AAL.US,5,20200812,155500,13.6499,13.845,13.61,13.7628,1971060,0
AAL.US,5,20200812,160000,13.76,13.775,13.62,13.72,1196873,0
AAL.US,5,20200812,160500,13.715,13.7938,13.66,13.7681,1045823,0
AAL.US,5,20200812,161000,13.76,13.85,13.74,13.78,940006,0
AAL.US,5,20200812,161500,13.785,13.84,13.74,13.835,915053,0
AAL.US,5,20200812,162000,13.835,13.9,13.82,13.85,1144592,0
AAL.US,5,20200812,162500,13.86,13.89,13.77,13.8,784610,0
AAL.US,5,20200812,163000,13.8,13.85,13.7504,13.79,754586,0
AAL.US,5,20200812,163500,13.795,13.81,13.625,13.645,1057686,0
