<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMZN.US,5,20200812,153000,3108,3124.26,3101.42,3115,101758,0
AMZN.US,5,20200812,153500,3117.09,3124,3107.77,3109.68,29942,0
AMZN.US,5,20200812,154000,3111.9,3123.88,3111.9,3113.75,20991,0
AMZN.US,5,20200812,154500,3114.99,3134.75,3114.99,3133.57,44797,0
AMZN.US,5,20200812,155000,3133.94,3148,3130,3142.31,64530,0
AMZN.US,5,20200812,155500,3142.02,3155.55,3140,3151.62,42433,0
AMZN.US,5,20200812,160000,3152.01,3153.54,3140.41,3142.64,32963,0
AMZN.US,5,20200812,160500,3142.15,3148,3141.3,3143.81,18923,0
AMZN.US,5,20200812,161000,3142.1,3148,3142,3146.79,15334,0
AMZN.US,5,20200812,161500,3146.83,3155.74,3142.39,3143.75,28821,0
AMZN.US,5,20200812,162000,3143.32,3147.07,3136,3141.24,23346,0
AMZN.US,5,20200812,162500,3141.02,3147.6,3140.55,3144.74,16592,0
AMZN.US,5,20200812,163000,3145.14,3146.87,3137.37,3140.12,14404,0
AMZN.US,5,20200812,163500,3141.78,3142.53,3135.19,3136.09,9778,0
AMZN.US,5,20200812,164000,3137.2,3139,3130.1,3135.13,12950,0
AMZN.US,5,20200812,164500,3136.83,3141.12,3135,3139.5,9107,0
AMZN.US,5,20200812,165000,3139.99,3147.88,3139.99,3146.93,28789,0
AMZN.US,5,20200812,165500,3146.85,3148.85,3142,3143.74,6995,0
AMZN.US,5,20200812,170000,3145.14,3145.36,3141.67,3144.89,9647,0
AMZN.US,5,20200812,170500,3144.52,3147.04,3143.08,3146.91,8178,0
AMZN.US,5,20200812,171000,3147.55,3150.7,3146,3149.41,16438,0
AMZN.US,5,20200812,171500,3148.13,3153,3147.32,3152.97,13842,0
AMZN.US,5,20200812,172000,3152.1,3155,3149.47,3151.85,12456,0
AMZN.US,5,20200812,172500,3152.98,3154.43,3150.1,3151.29,7019,0
AMZN.US,5,20200812,173000,3151.99,3154,3146.03,3148.9,7573,0
AMZN.US,5,20200812,173500,3147.33,3148.12,3140,3146,10829,0
AMZN.US,5,20200812,174000,3145.74,3152,3145.74,3149.68,9738,0
AMZN.US,5,20200812,174500,3149.63,3153,3145.35,3152.1,10310,0
AMZN.US,5,20200812,175000,3152.57,3154.49,3147.97,3148.86,9744,0
AMZN.US,5,20200812,175500,3151.12,3154.54,3149.14,3152.53,8392,0
AMZN.US,5,20200812,180000,3152.43,3158.99,3152,3157.63,15664,0
AMZN.US,5,20200812,180500,3157.66,3164.74,3157.48,3164.42,22211,0
AMZN.US,5,20200812,181000,3164.22,3165.24,3157,3162.98,12574,0
AMZN.US,5,20200812,181500,3164.74,3165,3160.02,3161.69,11695,0
AMZN.US,5,20200812,182000,3161.46,3168.76,3161.46,3168.76,12927,0
AMZN.US,5,20200812,182500,3168.39,3168.84,3160.31,3163.48,10878,0
AMZN.US,5,20200812,183000,3163.14,3164.87,3162.18,3164.12,7228,0
AMZN.US,5,20200812,183500,3165.06,3168.58,3164.92,3168.58,8320,0
AMZN.US,5,20200812,184000,3168.66,3169.6,3165.72,3166.33,9184,0
AMZN.US,5,20200812,184500,3165.02,3166.94,3163.41,3163.8,9067,0
AMZN.US,5,20200812,185000,3163.59,3164,3161.41,3163.64,7884,0
AMZN.US,5,20200812,185500,3162.92,3164.21,3150.11,3153.75,18408,0
AMZN.US,5,20200812,190000,3153.43,3157.19,3153.43,3153.6,10908,0
AMZN.US,5,20200812,190500,3153.39,3156.71,3152,3155.19,6514,0
AMZN.US,5,20200812,191000,3155.4,3161.75,3155.4,3161.75,8255,0
AMZN.US,5,20200812,191500,3159.9,3160.3,3153.01,3155.62,12094,0
AMZN.US,5,20200812,192000,3156.02,3158.25,3154.54,3155.68,4077,0
AMZN.US,5,20200812,192500,3156.11,3156.82,3149.79,3152.07,6889,0
AMZN.US,5,20200812,193000,3152,3155.56,3149.76,3154.86,7847,0
AMZN.US,5,20200812,193500,3153.81,3159.02,3153.81,3158.81,9594,0
AMZN.US,5,20200812,194000,3158.51,3162.39,3158.26,3162.38,5481,0
AMZN.US,5,20200812,194500,3162,3164.21,3160.75,3163.92,7185,0
AMZN.US,5,20200812,195000,3163.94,3165.84,3163.74,3164.08,3420,0
AMZN.US,5,20200812,195500,3165.04,3168.97,3165.01,3167.69,7527,0
