<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CSCO.US,5,20200812,153000,47.28,47.5904,47.27,47.5099,967221,0
CSCO.US,5,20200812,153500,47.51,47.545,47.39,47.465,337363,0
CSCO.US,5,20200812,154000,47.465,47.52,47.39,47.415,290223,0
CSCO.US,5,20200812,154500,47.42,47.485,47.33,47.45,289743,0
CSCO.US,5,20200812,155000,47.455,47.53,47.41,47.5075,282313,0
CSCO.US,5,20200812,155500,47.5018,47.56,47.455,47.465,229144,0
CSCO.US,5,20200812,160000,47.47,47.47,47.28,47.39,430028,0
CSCO.US,5,20200812,160500,47.39,47.42,47.31,47.3276,197674,0
CSCO.US,5,20200812,161000,47.325,47.35,47.28,47.32,182396,0
CSCO.US,5,20200812,161500,47.32,47.37,47.275,47.285,246768,0
CSCO.US,5,20200812,162000,47.285,47.38,47.285,47.38,146829,0
CSCO.US,5,20200812,162500,47.38,47.42,47.3499,47.4,200495,0
CSCO.US,5,20200812,163000,47.395,47.56,47.395,47.555,249595,0
CSCO.US,5,20200812,163500,47.56,47.58,47.4618,47.49,168146,0
CSCO.US,5,20200812,164000,47.49,47.62,47.49,47.62,228089,0
CSCO.US,5,20200812,164500,47.62,47.68,47.61,47.6527,158106,0
CSCO.US,5,20200812,165000,47.655,47.765,47.61,47.75,215075,0
CSCO.US,5,20200812,165500,47.75,47.89,47.7317,47.83,256831,0
CSCO.US,5,20200812,170000,47.84,47.925,47.82,47.915,201573,0
CSCO.US,5,20200812,170500,47.92,47.93,47.8,47.815,153068,0
CSCO.US,5,20200812,171000,47.815,47.85,47.7,47.7132,153955,0
CSCO.US,5,20200812,171500,47.72,47.75,47.69,47.725,121639,0
CSCO.US,5,20200812,172000,47.72,47.8,47.7,47.795,133285,0
CSCO.US,5,20200812,172500,47.795,47.875,47.7918,47.86,148716,0
CSCO.US,5,20200812,173000,47.855,47.95,47.855,47.885,283282,0
CSCO.US,5,20200812,173500,47.89,47.9,47.75,47.795,311600,0
CSCO.US,5,20200812,174000,47.795,47.82,47.78,47.815,152335,0
CSCO.US,5,20200812,174500,47.81,47.88,47.8,47.84,149327,0
CSCO.US,5,20200812,175000,47.845,47.86,47.805,47.82,86005,0
CSCO.US,5,20200812,175500,47.82,47.88,47.81,47.865,104779,0
CSCO.US,5,20200812,180000,47.8672,47.9,47.845,47.895,90179,0
CSCO.US,5,20200812,180500,47.9,47.93,47.88,47.89,177924,0
CSCO.US,5,20200812,181000,47.885,47.9,47.8224,47.8224,160012,0
CSCO.US,5,20200812,181500,47.83,47.84,47.775,47.795,171967,0
CSCO.US,5,20200812,182000,47.79,47.83,47.73,47.82,191290,0
CSCO.US,5,20200812,182500,47.81,47.8176,47.73,47.75,157048,0
CSCO.US,5,20200812,183000,47.7501,47.79,47.73,47.7799,102775,0
CSCO.US,5,20200812,183500,47.775,47.825,47.77,47.82,111846,0
CSCO.US,5,20200812,184000,47.82,47.855,47.795,47.845,99879,0
CSCO.US,5,20200812,184500,47.85,47.87,47.83,47.86,108119,0
CSCO.US,5,20200812,185000,47.855,47.87,47.82,47.825,118761,0
CSCO.US,5,20200812,185500,47.8299,47.89,47.82,47.8768,191843,0
CSCO.US,5,20200812,190000,47.87,47.935,47.87,47.915,173993,0
CSCO.US,5,20200812,190500,47.915,47.95,47.86,47.915,209286,0
CSCO.US,5,20200812,191000,47.915,47.95,47.9017,47.91,167316,0
CSCO.US,5,20200812,191500,47.91,47.97,47.9,47.95,184232,0
CSCO.US,5,20200812,192000,47.955,47.97,47.86,47.885,154145,0
CSCO.US,5,20200812,192500,47.885,47.91,47.82,47.84,124594,0
CSCO.US,5,20200812,193000,47.8362,47.855,47.78,47.79,146297,0
CSCO.US,5,20200812,193500,47.7941,47.8,47.74,47.745,168994,0
CSCO.US,5,20200812,194000,47.76,47.78,47.72,47.725,127936,0
CSCO.US,5,20200812,194500,47.7247,47.8,47.72,47.76,140189,0
CSCO.US,5,20200812,195000,47.765,47.815,47.76,47.81,108583,0
CSCO.US,5,20200812,195500,47.805,47.83,47.78,47.81,133101,0
CSCO.US,5,20200812,200000,47.81,47.85,47.8,47.85,132581,0
CSCO.US,5,20200812,200500,47.85,47.8576,47.74,47.745,108578,0
CSCO.US,5,20200812,201000,47.7448,47.78,47.74,47.755,75552,0
CSCO.US,5,20200812,201500,47.755,47.78,47.72,47.745,131573,0
