<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FB.US,5,20200812,153000,258.97,260.52,258.112,260.034,617386,0
FB.US,5,20200812,153500,260.11,261.82,259.81,260.39,568077,0
FB.US,5,20200812,154000,260.36,261.45,260.36,260.62,233304,0
FB.US,5,20200812,154500,260.66,262.21,260.271,262.065,388927,0
FB.US,5,20200812,155000,262.04,262.13,260.82,261.58,365824,0
FB.US,5,20200812,155500,261.545,262.43,261.43,261.799,278487,0
FB.US,5,20200812,160000,261.8,262.85,261.31,262.46,374961,0
FB.US,5,20200812,160500,262.41,262.68,261.87,262.315,346948,0
FB.US,5,20200812,161000,262.315,263.09,262.09,263.09,383046,0
FB.US,5,20200812,161500,263.05,263.76,262.724,263.035,479866,0
FB.US,5,20200812,162000,263.04,263.897,262.42,262.69,395577,0
FB.US,5,20200812,162500,262.68,263,261.81,261.894,276666,0
FB.US,5,20200812,163000,261.87,262.49,261.84,261.965,260924,0
FB.US,5,20200812,163500,261.98,262.32,261.8,261.81,266365,0
FB.US,5,20200812,164000,261.81,262.13,260.9,261.19,328823,0
FB.US,5,20200812,164500,261.175,261.51,260.77,261.42,250870,0
FB.US,5,20200812,165000,261.411,262.62,261.411,262.235,327872,0
FB.US,5,20200812,165500,262.23,262.74,262.09,262.27,259341,0
FB.US,5,20200812,170000,262.29,262.67,262.1,262.4,181099,0
FB.US,5,20200812,170500,262.39,262.53,261.87,262.11,131691,0
FB.US,5,20200812,171000,262.11,262.5,261.7,261.87,118963,0
FB.US,5,20200812,171500,261.93,262.22,261.67,262.205,112679,0
FB.US,5,20200812,172000,262.205,262.32,261.68,261.795,123557,0
FB.US,5,20200812,172500,261.83,262.04,261.24,261.585,139310,0
FB.US,5,20200812,173000,261.61,262.16,261.31,261.39,160495,0
FB.US,5,20200812,173500,261.38,261.535,260.6,261.27,205172,0
FB.US,5,20200812,174000,261.245,261.5,261.1,261.445,174610,0
FB.US,5,20200812,174500,261.47,262.08,261.39,261.685,209742,0
FB.US,5,20200812,175000,261.71,261.96,261.06,261.22,131457,0
FB.US,5,20200812,175500,261.2,261.53,260.93,261.44,139972,0
FB.US,5,20200812,180000,261.46,261.87,261.39,261.68,96399,0
FB.US,5,20200812,180500,261.67,262.13,261.62,261.715,114856,0
FB.US,5,20200812,181000,261.7,261.7,261.08,261.61,164338,0
FB.US,5,20200812,181500,261.61,261.78,260.8,260.83,173937,0
FB.US,5,20200812,182000,260.83,261.45,260.82,261.37,139455,0
FB.US,5,20200812,182500,261.375,261.375,260.93,261.02,123436,0
FB.US,5,20200812,183000,260.986,261.06,260.63,260.73,72195,0
FB.US,5,20200812,183500,260.74,261,260.685,260.96,79299,0
FB.US,5,20200812,184000,260.95,261.11,259.92,259.98,169562,0
FB.US,5,20200812,184500,259.975,260.44,259.61,259.785,176633,0
FB.US,5,20200812,185000,259.785,260.37,259.44,260.265,179093,0
FB.US,5,20200812,185500,260.25,260.29,259.77,260.1,112446,0
FB.US,5,20200812,190000,260.085,260.54,260.081,260.09,112665,0
FB.US,5,20200812,190500,260.06,260.5,260.055,260.34,101450,0
FB.US,5,20200812,191000,260.355,260.99,260.22,260.84,113851,0
FB.US,5,20200812,191500,260.875,260.97,260.35,260.85,107184,0
FB.US,5,20200812,192000,260.835,260.96,260.26,260.47,117360,0
FB.US,5,20200812,192500,260.48,260.675,260.17,260.675,108995,0
FB.US,5,20200812,193000,260.65,260.93,260.384,260.76,84957,0
FB.US,5,20200812,193500,260.67,260.77,260.4,260.54,100816,0
FB.US,5,20200812,194000,260.54,260.99,260.4,260.89,106788,0
FB.US,5,20200812,194500,260.89,261.72,260.76,261.62,164096,0
FB.US,5,20200812,195000,261.61,261.84,261.52,261.6,145580,0
FB.US,5,20200812,195500,261.617,261.9,261.41,261.68,161491,0
FB.US,5,20200812,200000,261.665,261.79,261.3,261.5,134307,0
FB.US,5,20200812,200500,261.495,261.52,261.174,261.315,89397,0
FB.US,5,20200812,201000,261.35,261.4,261.08,261.25,113782,0
FB.US,5,20200812,201500,261.28,261.5,261.2,261.21,115994,0
FB.US,5,20200812,202000,261.2,261.84,261.105,261.728,169270,0
FB.US,5,20200812,202500,261.72,262.02,261.54,261.79,114553,0
FB.US,5,20200812,203000,261.78,262,261.35,261.35,107075,0
FB.US,5,20200812,203500,261.35,261.6,260.724,260.76,149356,0
FB.US,5,20200812,204000,260.764,261.15,260.46,260.475,136897,0
FB.US,5,20200812,204500,260.47,260.752,260.225,260.605,174855,0
FB.US,5,20200812,205000,260.59,260.92,260.4,260.685,111717,0
FB.US,5,20200812,205500,260.71,260.89,260.51,260.73,69608,0
FB.US,5,20200812,210000,260.735,260.97,260.62,260.63,90615,0
FB.US,5,20200812,210500,260.63,260.9,260.63,260.72,61932,0
FB.US,5,20200812,211000,260.74,261.28,260.72,261.11,179935,0
FB.US,5,20200812,211500,261.1,261.44,260.94,261.44,127182,0
FB.US,5,20200812,212000,261.45,261.59,261.17,261.335,190061,0
FB.US,5,20200812,212500,261.33,261.35,260.695,260.815,92227,0
FB.US,5,20200812,213000,260.828,260.96,259.63,260.115,256786,0
FB.US,5,20200812,213500,260.14,260.32,259.81,260.245,156502,0
FB.US,5,20200812,214000,260.22,260.67,260,260.47,175905,0
FB.US,5,20200812,214500,260.48,260.6,260.195,260.56,108175,0
FB.US,5,20200812,215000,260.57,261.33,259.55,260,234066,0
FB.US,5,20200812,215500,259.98,260.05,259.56,259.89,1438515,0
FB.US,5,20200813,153000,261.55,262.796,260.22,261.37,386753,0
FB.US,5,20200813,153500,261.42,263.436,261.37,263.21,279169,0
FB.US,5,20200813,154000,263.25,265.16,262.91,265.03,465972,0
FB.US,5,20200813,154500,265.05,265.08,262.88,263.33,563978,0
FB.US,5,20200813,155000,263.34,264.66,263.1,263.12,392163,0
FB.US,5,20200813,155500,263.33,264.35,263.135,264.297,244447,0
FB.US,5,20200813,160000,264.34,264.34,263.45,263.809,199693,0
FB.US,5,20200813,160500,263.82,264,262.52,262.63,241234,0
FB.US,5,20200813,161000,262.68,262.98,262.35,262.855,158113,0
FB.US,5,20200813,161500,262.87,262.9,262.12,262.649,194378,0
FB.US,5,20200813,162000,262.645,263.725,262.645,263.25,285715,0
