<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOOG.US,5,20200812,153000,1485.58,1495.43,1485.25,1493.02,21034,0
GOOG.US,5,20200812,153500,1492.5,1494.42,1490.64,1494.31,5464,0
GOOG.US,5,20200812,154000,1494.22,1498.98,1494.22,1498.37,5331,0
GOOG.US,5,20200812,154500,1498.77,1504.66,1497.95,1504.66,10573,0
GOOG.US,5,20200812,155000,1504.5,1505,1500.22,1502.06,21651,0
GOOG.US,5,20200812,155500,1502.2,1503.86,1499.32,1501.4,12869,0
GOOG.US,5,20200812,160000,1501.08,1504.12,1500.66,1502.92,10657,0
GOOG.US,5,20200812,160500,1503.64,1506.98,1503.63,1503.98,5503,0
GOOG.US,5,20200812,161000,1503.8,1507.37,1503.79,1506.96,8733,0
GOOG.US,5,20200812,161500,1507.25,1510.72,1505.13,1505.78,11541,0
GOOG.US,5,20200812,162000,1505.82,1508.85,1505.48,1508.84,10171,0
GOOG.US,5,20200812,162500,1509.27,1510.86,1508.43,1508.84,8199,0
GOOG.US,5,20200812,163000,1509.6,1512.39,1509.33,1510.97,7007,0
GOOG.US,5,20200812,163500,1511.45,1512.11,1507.64,1507.64,7593,0
GOOG.US,5,20200812,164000,1508.38,1509.51,1506.62,1506.99,7397,0
GOOG.US,5,20200812,164500,1507.49,1508.72,1504.8,1505.44,11897,0
GOOG.US,5,20200812,165000,1506.3,1510.4,1505.44,1508.25,10669,0
GOOG.US,5,20200812,165500,1508.41,1508.57,1506.36,1506.69,6951,0
GOOG.US,5,20200812,170000,1506.92,1507.32,1503.97,1505.19,9577,0
GOOG.US,5,20200812,170500,1505.05,1506.65,1503.15,1503.15,15022,0
GOOG.US,5,20200812,171000,1503.75,1503.76,1501.31,1501.87,15671,0
GOOG.US,5,20200812,171500,1502.25,1504.94,1501.59,1504.94,11437,0
GOOG.US,5,20200812,172000,1504.34,1504.93,1501.45,1501.45,21448,0
GOOG.US,5,20200812,172500,1502,1503.83,1500.32,1503.51,5901,0
GOOG.US,5,20200812,173000,1503.23,1506,1500.91,1501.24,9299,0
GOOG.US,5,20200812,173500,1501.63,1502.11,1499.64,1502,5683,0
GOOG.US,5,20200812,174000,1502.09,1505.1,1501.98,1504.02,6929,0
